hummingbird annotations response, 95.18 ( 0.00), 95.18 ( 1.52), 89.16 ( 3.54), 95.18 ( 1.18)
captum scores response, 93.98 ( 0.00), 92.77 ( 2.81), 86.75 ( 3.61), 93.98 ( 1.52)
surprisal response, 93.98 ( 0.00), 95.18 ( 1.52), 89.16 ( 3.86), 96.39 ( 1.18)
Dwell Time z_score response, 93.98 ( 0.00), 93.98 ( 1.93), 91.57 ( 1.93), 95.18 ( 2.36)
Dwell Time pred response, 93.98 ( 0.00), 92.77 ( 1.18), 91.57 ( 1.93), 95.18 ( 2.36)
Dwell Time raw response, 93.98 ( 0.00), 92.77 ( 1.80), 89.16 ( 2.89), 95.18 ( 2.46)
Reread Time z_score response, 93.98 ( 0.00), 93.98 ( 2.36), 90.36 ( 2.36), 97.59 ( 2.16)
Reread Time raw response, 92.77 ( 0.00), 92.77 ( 2.46), 86.75 ( 2.81), 96.39 ( 1.80)
Go Past Time z_score response, 93.98 ( 0.00), 91.57 ( 2.89), 87.95 ( 3.86), 92.77 ( 2.46)
Go Past Time raw response, 93.98 ( 0.00), 92.77 ( 3.27), 90.36 ( 3.20), 93.98 ( 2.46)
First Run Dwell z_score response, 93.98 ( 0.00), 92.77 ( 2.46), 92.77 ( 1.18), 92.77 ( 2.46)
First Run Dwell raw response, 93.98 ( 0.00), 92.77 ( 1.80), 89.16 ( 3.54), 93.98 ( 2.46)
First Run Dwell pred response, 93.98 ( 0.00), 92.77 ( 2.46), 89.16 ( 3.54), 93.98 ( 2.46)
First Fixation Duration z_score response, 93.98 ( 0.00), 92.77 ( 2.46), 90.36 ( 0.96), 95.18 ( 2.46)
First Fixation Duration raw response, 93.98 ( 0.00), 92.77 ( 2.81), 90.36 ( 3.27), 95.18 ( 1.93)
Pupil Size z_score response, 92.77 ( 0.00), 93.98 ( 2.46), 86.75 ( 4.31), 93.98 ( 1.80)
Pupil Size raw response, 93.98 ( 0.00), 91.57 ( 1.93), 86.75 ( 4.03), 96.39 ( 2.46)
Pupil Size pred response, 93.98 ( 0.00), 92.77 ( 2.16), 86.75 ( 4.03), 96.39 ( 2.46)
hybrid score, 93.98 ( 0.00), 92.77 ( 4.15), 93.98 ( 3.05), 96.39 ( 1.18)
baseline, 95.18 ( 0.00), 93.98 ( 3.41), 93.98 ( 1.52), 93.98 ( 2.46)
