dwell time,first fixation duration,first run dwell time,last run dwell time,regressions out,cptm,ppl,hb
need,i'm,i'm,i'm,i'm,really,point,life
i'm,keep,keep,keep,keep,look,look,one
life,film,film,film,film,life,really,
point,life,need,need,good,keep,life,big
good,need,good,point,life,i'm,need,i'm
really,good,life,life,need,happy,,need
keep,point,point,good,one,need,good,happy
film,happy,happy,happy,point,one,big,point
one,really,really,really,really,point,keep,look
happy,one,one,one,happy,film,happy,good
